ID_REF	M1M	M2M	M3M	E1M	E2M	E3M	M1F	M2F	M3F	E1F	E2F	E3F
FBtr0086194	6.086473832	6.875110401	7.516699918	7.832740042	7.516015147	7.780904537	4.496468741	4.075968968	4.026454833	4.802255267	4.390598906	7.498218949
FBtr0086195	10.94769691	10.6287335	10.09146329	9.703454261	10.15162242	10.09031875	11.41731283	10.90138418	10.99124908	10.13835488	10.56735739	10.76124338
FBtr0086196	12.15003176	11.79227334	11.43493602	11.39278923	11.94544395	11.56132136	12.19216093	11.91792141	11.93084191	11.22988024	11.67022422	11.47857792
FBtr0086197	12.19946461	12.11227095	11.63643584	11.53411229	12.17133551	11.76824111	12.34038507	12.21816312	12.15909022	11.47054261	11.92504637	12.13726262
FBtr0086198	12.2198318	12.13610094	11.68781193	11.50840255	12.13962911	11.60894292	11.98268433	11.69254738	11.85831027	11.17936362	11.47394826	10.96408213
FBtr0086199	11.77796301	11.68367944	11.224065	11.14598098	11.74548522	11.37747393	11.68649786	11.40849444	11.61422299	10.77303475	11.1996502	10.91534536
FBtr0086201	12.32508799	12.35670824	11.84371484	11.7299138	12.32753505	11.84413532	12.11366847	11.83446884	12.03742468	11.32386598	11.68243929	11.39493074
FBtr0086202	12.26760903	12.32844717	11.92031128	11.904478	12.30468235	11.95074149	12.25281534	11.96928999	12.10286202	11.56687636	11.77062186	11.92631542
FBtr0086203	12.14414151	11.90708644	11.35568563	11.27964238	11.81871354	11.59343473	11.87737766	11.60596748	11.61226195	10.9931957	11.38968941	11.36271469
FBtr0086204	12.21149862	12.11165969	11.5846403	11.59051866	12.35814298	11.94666475	12.06100892	11.85054586	11.89017165	11.37338036	11.59157676	11.85815503
FBtr0086206	3.684392373	5.625854931	5.201069218	5.823718794	4.599073753	5.407831984	3.897550233	4.701748647	4.856403118	6.37717929	6.533865435	6.049706995
FBtr0086207	13.06953756	12.96854124	12.50589683	12.35305249	12.31841619	12.66572172	13.15416397	12.8151678	12.91475107	11.94088942	12.9293124	8.729410356
FBtr0086210	9.312825791	9.688250134	9.517412514	9.586580305	10.67683975	9.324032443	5.961206572	5.705812065	5.592908463	5.252135559	5.195965651	4.446726022
FBtr0086211	10.19131577	9.483219233	8.816626264	9.252227827	10.58420301	8.84114099	11.1140588	10.75123683	11.01508466	10.4801419	10.398419	12.19719479
FBtr0086212	10.93199434	10.88975081	10.44713986	10.80920123	11.30279746	10.50093059	11.66859247	11.59903585	11.73521198	11.90254462	11.61943837	12.98655948
FBtr0086214	11.98912211	12.23418733	11.42437092	12.1178442	12.40802352	11.76470231	11.74546122	11.46759536	10.69082266	10.70110265	9.949893082	12.0247894
FBtr0086215	10.64299338	9.880165111	9.412891374	9.056842523	10.62457396	9.267852945	10.70926444	10.17965212	10.22630694	9.477644951	9.667956682	10.42452398
FBtr0086216	13.64449293	13.83421987	13.9642839	13.89386903	13.8245643	13.9413585	13.07784963	13.35353735	13.29408202	13.60321618	13.20804724	13.63216123
FBtr0086217	9.695709748	9.249451741	8.413229758	9.019395298	9.642606275	8.787615624	5.321401415	5.837249472	5.59501723	5.210848596	4.276243539	7.001115403
FBtr0086218	7.775121015	7.011122125	6.683275373	6.662071594	7.782870473	6.96240905	9.243315865	8.186392102	8.240629169	7.611423974	7.551902018	8.017312307
FBtr0086219	12.6803364	12.65108877	12.51133379	12.2962336	12.45467817	12.46628423	12.77024333	12.75564897	12.69677038	12.14681491	12.66122039	10.52773434
FBtr0086220	12.79607858	12.74429609	12.5462608	12.40354857	12.43209094	12.47622654	13.01753681	12.90912757	12.85136663	12.25938193	12.7909998	10.78730112
FBtr0086222	12.74314197	12.69786997	12.58646964	12.45931442	12.63524608	12.54948527	12.75322663	12.79335998	12.90879878	12.28808062	12.72731575	11.82669771
FBtr0086225	10.93427529	10.43192408	10.24285351	10.00907811	9.942492366	10.19990026	11.96739736	11.61143057	11.54023955	10.87371532	11.57941343	9.730087972
FBtr0086227	5.84758107	6.368778824	9.037672687	9.276310082	6.326492407	8.98460359	7.916396625	8.391572267	8.510200823	11.18579514	9.964344767	11.52953309
FBtr0086228	6.366568763	6.611643068	8.757346336	8.805350825	6.654273698	8.576722036	7.390169816	8.499816395	8.428634028	11.47858965	9.475173062	11.20751588
FBtr0086229	8.888679939	10.47327074	11.70362387	12.01602566	10.88186173	11.97028363	4.633861281	5.060133874	5.632428183	7.199354328	6.843243972	9.012521466
FBtr0086230	12.11062777	12.2674402	12.20822908	12.30066355	12.67475902	12.11409088	12.26860194	12.18444287	12.70520496	12.55802944	12.38640595	13.2155521
FBtr0086231	11.62766853	11.62468718	11.3691053	11.37729026	11.88214948	11.29182161	12.12108694	11.75062748	11.69068209	11.04719345	11.26511072	12.18164736
FBtr0086232	11.73600082	11.34182084	11.11350276	10.97554084	11.66655973	10.9858048	12.90827171	12.58399825	13.00635962	12.41456593	12.96180468	11.66312803
FBtr0086233	8.52820638	8.197926806	7.782702762	7.720905677	7.983187442	7.851464222	9.027554953	8.447589114	8.678869464	7.65770788	8.463915033	6.051748389
FBtr0086235	6.962328067	6.866299723	6.331244808	6.315700263	7.463191657	6.454534548	7.929807564	7.752746585	7.691087441	7.112681369	7.35740069	5.182517511
FBtr0086236	12.35773107	13.30504702	13.40170889	13.51199204	13.24634164	13.37111713	11.56123954	12.60376305	12.56692872	13.57908432	13.29959751	13.74769317
FBtr0086237	3.565499693	3.17877837	3.383386346	3.165702954	3.558671728	3.319661284	3.802193217	3.777240847	3.623504036	4.249361902	3.399649634	5.636102546
FBtr0086238	7.304355885	7.687108292	8.45957752	8.052249047	6.783507729	7.910054441	7.139502239	7.288076124	6.989956424	8.552969132	8.028576887	8.972272477
FBtr0086239	3.825246297	3.813032078	3.614721621	4.172255475	3.899446352	4.258827933	5.630682125	5.537991773	5.202637126	5.440231335	4.548473616	10.56420076
FBtr0086240	12.77992532	12.67479749	12.44538088	12.34351703	12.49927672	12.61701119	6.767804409	6.538272755	6.065380589	5.896639985	7.243715726	7.645906245
FBtr0086241	3.802555138	3.391891421	3.351260825	3.522507776	3.908755276	3.804291097	4.952300947	4.434267926	4.254624275	4.141735228	3.768099614	7.899485627
FBtr0086242	13.32807891	13.44533098	13.72499354	13.52284292	12.95405674	13.76729429	13.81621246	13.737097	13.92319652	13.41472963	13.84372739	13.14869818
FBtr0086245	11.96161501	11.94494356	11.5817374	11.48547473	11.33327507	11.63853475	12.06963394	12.05145911	11.79736728	11.46786258	11.94982875	9.174584437
FBtr0086248	4.080222743	4.062182168	3.619694714	3.883835836	3.935742601	3.776998813	4.218230948	5.032034703	4.032973604	4.324205754	4.119256563	5.275874937
FBtr0086249	12.19694241	12.44294552	12.41662322	12.80613764	12.82662751	12.45924502	11.46761192	11.55764979	11.80276772	12.15546161	11.64760129	12.8908661
FBtr0086252	10.43801531	10.02122513	10.76458236	11.01765395	10.30731718	10.73644734	11.47742826	12.33746614	12.24255288	13.21412423	12.61326659	11.98248091
FBtr0086253	8.756429226	8.592333693	7.485859893	7.036395633	7.730737762	7.550295055	9.594735144	8.930116964	8.699668572	7.878702048	8.094351679	6.178927724
FBtr0086254	5.668921849	6.005422445	7.60023704	8.034165083	6.493371935	7.357068973	8.249764356	9.764137785	9.203629662	12.27656389	10.40681757	12.64758641
FBtr0086255	8.197462938	8.278638088	8.476695177	8.206672036	7.913457921	8.417941521	8.704350152	8.731980482	8.622786894	8.683043726	8.615372522	5.595509628
FBtr0086257	8.431526019	8.698266757	8.575217772	8.982009013	9.618637493	8.463575459	9.929694407	9.452424114	10.03102308	9.630845725	9.433358848	10.977985
FBtr0086258	11.79833635	11.55382063	11.04295057	10.80233727	11.64380971	11.10644274	11.90130449	11.36295993	11.36874609	10.49732794	10.90205194	9.539403118
FBtr0086259	10.74448489	11.04507746	11.25418862	11.29736443	10.75506357	11.33885101	10.38671278	10.63973005	10.4010222	10.91666861	10.71322711	7.723634326
FBtr0086263	10.13447291	9.693899495	8.358816448	8.791922465	10.28499074	8.521526635	10.86770083	10.41322267	10.28455473	9.745345248	9.561234476	9.932863893
FBtr0086264	5.090163244	4.923030298	4.172879499	4.703504961	4.848467709	4.482893447	4.578703275	5.022221317	4.784613908	5.839858837	5.70866456	6.092228584
FBtr0086265	4.587731019	3.854424601	3.486958877	3.6830002	4.082966514	3.495298623	6.681348059	5.947327182	5.073991565	5.024465963	4.171943362	5.871964361
FBtr0086266	8.952265705	8.204751103	7.732490363	9.07039711	9.935535917	9.132499473	10.06149581	9.291659958	9.329492073	10.33352436	9.961724026	11.19268716
FBtr0086267	12.58595167	13.00785665	12.61805921	12.86708698	12.84255049	12.53498513	11.65754645	12.09706999	11.9074424	12.11572561	11.80710645	12.83194341
FBtr0086268	6.801732929	7.052140885	6.176827388	6.286528191	7.604964575	6.301046169	6.196367047	6.061041705	5.85647284	5.881691535	5.588915475	9.048330471
FBtr0086269	8.565429243	10.13416523	10.43226805	11.05965805	10.42272529	10.89786602	8.434368853	9.284493081	9.170311922	10.7155691	9.858921083	11.04389134
FBtr0086270	12.29861241	12.30790641	12.3193676	11.90379533	11.628218	12.28827527	12.3798028	12.48027482	12.4502356	11.98014701	12.50537171	10.98838966
FBtr0086273	14.02165378	13.88786805	13.55312425	13.62212355	13.95662921	13.6581684	14.34205939	14.25971465	14.12122184	13.97496764	14.08462001	14.20940967
FBtr0086275	8.998320199	8.982436633	8.719246427	8.99480937	9.17709907	8.834705528	8.333463987	8.745262547	8.473177679	8.457309461	8.332552648	9.420886785
FBtr0086277	8.975905847	7.766930356	6.548692465	6.902937008	8.553280624	7.317009145	11.34827774	10.83152165	11.00813102	10.10829967	10.3146733	10.44490027
FBtr0086278	11.40142893	11.74998688	11.63774499	11.70575855	11.82644322	11.67584473	5.461954128	4.804595707	4.225899572	4.768316676	5.616710564	6.246736799
FBtr0086279	9.689102035	10.23154725	10.96685184	10.99821666	10.67119906	10.92942486	10.17310457	10.66950597	10.58347696	11.35761116	10.75776176	11.71031686
FBtr0086281	9.95805849	10.40384075	11.15592748	11.03095082	10.4594681	11.11456204	10.87439393	11.32599802	11.23436522	11.79927369	11.92574973	11.77385646
FBtr0086282	10.66870729	11.1876597	11.12882476	11.41696184	11.13004783	11.40816556	5.59814483	5.27234425	5.997134308	6.766026611	6.096641371	10.01432014
FBtr0086283	10.36880097	10.41718733	10.46864675	10.32733942	10.08655968	10.44069365	10.97897624	10.88835886	10.80136102	10.85714685	11.02573237	9.371046946
FBtr0086286	10.5827847	11.85581883	12.56885195	12.59552818	11.94563298	12.62028504	7.450332037	7.229228358	7.864044345	8.00595852	7.548133719	8.353508998
FBtr0086287	10.77399072	11.20211158	11.51316195	11.34010217	11.35421946	11.59418835	5.816077416	6.12156667	5.913782214	5.653512938	5.776090825	8.345388835
FBtr0086289	12.12131842	11.79001613	11.61065748	11.39532543	12.18973979	11.51017491	5.837559817	5.776690951	5.320784306	5.507382383	6.014567307	7.184433047
FBtr0086292	12.12763041	12.17287059	11.91689193	11.8615692	12.38718833	11.73068521	11.95290349	11.80749226	11.78386173	11.51240375	10.95114809	12.25867252
FBtr0086293	11.06275105	11.90858071	11.30738264	11.41220516	11.57816406	11.43604359	10.49753343	10.43408263	10.64764828	10.7697705	10.39808877	11.18167928
FBtr0086294	10.51851635	8.682527651	12.13084572	12.28411513	12.09577868	11.76749222	11.17980412	8.822935959	12.30629525	12.66543232	11.94477775	12.7372607
FBtr0086295	10.40137469	9.887631276	9.22624696	9.583962788	10.65728754	9.158777299	4.895244447	5.419596194	5.947934942	5.72118944	5.357425323	6.902542741
FBtr0086297	10.58638843	10.3267872	9.73145345	9.714362131	10.8039886	9.689889329	11.71483587	11.52142048	11.70475316	11.35348998	11.54930534	11.11227907
FBtr0086298	12.71723744	12.82305665	12.75814987	12.52179845	12.51882311	12.69122315	12.06578713	12.37717064	12.06747453	11.57271354	11.98371036	10.1463281
FBtr0086299	12.02309768	12.00172626	11.75987183	11.91129831	11.95181528	11.82354402	11.8468947	11.80382542	11.74656177	11.37614835	11.30436878	10.75305065
FBtr0086301	9.710226829	9.358549011	8.472687184	8.746939845	9.651002165	9.01793137	8.782116274	8.023376792	8.087549825	6.911208606	6.834790841	8.109215321
FBtr0086302	9.771547407	9.214191604	9.116305229	9.081838642	9.21925324	9.231129959	10.89111938	11.02473944	10.75158347	10.80220865	11.10829346	9.153102814
FBtr0086303	14.3383576	14.32166216	14.2631794	14.07588804	14.36596231	14.25775194	14.20973264	13.98707013	13.90647166	13.46611574	13.87518043	12.46853315
FBtr0086304	10.10458617	9.192300213	9.072879155	8.783071242	9.421137652	9.0191915	11.65345552	11.68274345	11.42122356	11.23815876	11.55152722	10.87968884
FBtr0086305	12.22752449	11.84519964	11.02850796	10.94245271	11.4282515	11.41296947	12.19429163	11.95690184	11.81242747	11.08602082	11.56856553	9.849627626
FBtr0086306	9.539549682	5.931267017	5.908692838	5.64038956	7.06677915	5.54744366	12.15996633	11.84735901	12.0327869	12.15002236	11.64458258	12.77579596
FBtr0086307	10.71765963	8.105514659	8.716343456	8.630968186	9.387812064	8.522663128	12.53028903	13.01158196	13.01986107	13.34555708	13.30553729	13.77853503
